"file","line","parameter","default_value","function_expr"
"customer_engine_v4.R",,"bauspar_sum_unit_factor","1000","function(contract, valuation_date, bauspar_sum_unit_factor = 1000, allocation_fallback_years = 10, saving_goal_fraction = 0.4, bridge_ratio_cutoff = 2, warn_balance_fraction = 0.9, prefer_tariff_fraction = TRUE) {     contract_start_date <-"
"customer_engine_v4.R",,"allocation_fallback_years","10","function(contract, valuation_date, bauspar_sum_unit_factor = 1000, allocation_fallback_years = 10, saving_goal_fraction = 0.4, bridge_ratio_cutoff = 2, warn_balance_fraction = 0.9, prefer_tariff_fraction = TRUE) {     contract_start_date <-"
"customer_engine_v4.R",,"saving_goal_fraction","0.4","function(contract, valuation_date, bauspar_sum_unit_factor = 1000, allocation_fallback_years = 10, saving_goal_fraction = 0.4, bridge_ratio_cutoff = 2, warn_balance_fraction = 0.9, prefer_tariff_fraction = TRUE) {     contract_start_date <-"
"customer_engine_v4.R",,"bridge_ratio_cutoff","2","function(contract, valuation_date, bauspar_sum_unit_factor = 1000, allocation_fallback_years = 10, saving_goal_fraction = 0.4, bridge_ratio_cutoff = 2, warn_balance_fraction = 0.9, prefer_tariff_fraction = TRUE) {     contract_start_date <-"
"customer_engine_v4.R",,"warn_balance_fraction","0.9","function(contract, valuation_date, bauspar_sum_unit_factor = 1000, allocation_fallback_years = 10, saving_goal_fraction = 0.4, bridge_ratio_cutoff = 2, warn_balance_fraction = 0.9, prefer_tariff_fraction = TRUE) {     contract_start_date <-"
"customer_engine_v4.R",,"prefer_tariff_fraction","TRUE","function(contract, valuation_date, bauspar_sum_unit_factor = 1000, allocation_fallback_years = 10, saving_goal_fraction = 0.4, bridge_ratio_cutoff = 2, warn_balance_fraction = 0.9, prefer_tariff_fraction = TRUE) {     contract_start_date <-"
"customer_engine_v4.R",,"path","customers_data.js","function(merged_data, valuation_date, path = ""customers_data.js"", ...) {     if (missing(merged_data) || is.null(merged_data))          stop(""merged_data fehlt / ist NULL -- bitte zuerst den Merge laufen lassen."")     if (!(""BSV"" %in% names"
"customer_engine_v4.R",,"template","customer_view.html","function(merged_data, template = ""customer_view.html"", out = ""customer_card_standalone.html"", valuation_date = if (exists(""VAL_DATE"", inherits = TRUE)) VAL_DATE else as.Date(""2026-03-31"")) {     if (!file.exists(template))          stop(""Te"
"customer_engine_v4.R",,"out","customer_card_standalone.html","function(merged_data, template = ""customer_view.html"", out = ""customer_card_standalone.html"", valuation_date = if (exists(""VAL_DATE"", inherits = TRUE)) VAL_DATE else as.Date(""2026-03-31"")) {     if (!file.exists(template))          stop(""Te"
"qa_sample_customers_v4.R",,"bd",,"function(xs, ys, col, bd = NA) polygon(xs, ys, col = col, border = bd)"
"qa_sample_customers_v4.R",,"cex","0.9","function(t, cex = 0.9, col = COL$txt, font = 1) {     text(0.05, y, t, cex = cex, col = col, font = font, adj = 0)     y <<- y - step }"
"qa_sample_customers_v4.R",,"font","1","function(t, cex = 0.9, col = COL$txt, font = 1) {     text(0.05, y, t, cex = cex, col = col, font = font, adj = 0)     y <<- y - step }"
