"file","group","ordinal","field"
"customer_engine_v4.R","contract_input_fields",1,"BSV"
"customer_engine_v4.R","contract_input_fields",2,"DaBetrag"
"customer_engine_v4.R","contract_input_fields",3,"Tilgungsbeginn"
"customer_engine_v4.R","contract_input_fields",4,"Vertragsende"
"customer_engine_v4.R","contract_input_fields",5,"abschlussdatum"
"customer_engine_v4.R","contract_input_fields",6,"bausparsumme_teuro"
"customer_engine_v4.R","contract_input_fields",7,"contract_type"
"customer_engine_v4.R","contract_input_fields",8,"einloesungsdatum"
"customer_engine_v4.R","contract_input_fields",9,"erstmalige_zuteilungsanwartschaft"
"customer_engine_v4.R","contract_input_fields",10,"guthaben"
"customer_engine_v4.R","contract_input_fields",11,"tariff_amount"
"customer_engine_v4.R","record_fields",1,"id"
"customer_engine_v4.R","record_fields",2,"phase"
"customer_engine_v4.R","record_fields",3,"savings_ratio"
"customer_engine_v4.R","record_fields",4,"saving_goal"
"customer_engine_v4.R","record_fields",5,"contract_type"
"customer_engine_v4.R","record_fields",6,"goal_fraction"
"customer_engine_v4.R","record_fields",7,"goal_source"
"customer_engine_v4.R","record_fields",8,"saving_reference"
"customer_engine_v4.R","record_fields",9,"balance"
"customer_engine_v4.R","record_fields",10,"bauspar_sum"
"customer_engine_v4.R","record_fields",11,"loan_notional"
"customer_engine_v4.R","record_fields",12,"bauspar_loan"
"customer_engine_v4.R","record_fields",13,"loan_to_bauspar_ratio"
"customer_engine_v4.R","record_fields",14,"is_bridge_loan"
"customer_engine_v4.R","record_fields",15,"allocation_estimated"
"customer_engine_v4.R","record_fields",16,"allocation_in_past"
"customer_engine_v4.R","record_fields",17,"repayment_active"
"customer_engine_v4.R","record_fields",18,"saving_after_allocation"
"customer_engine_v4.R","record_fields",19,"warn_loan_pointless"
"customer_engine_v4.R","record_fields",20,"contract_start_date"
"customer_engine_v4.R","record_fields",21,"first_payment_date"
"customer_engine_v4.R","record_fields",22,"allocation_date"
"customer_engine_v4.R","record_fields",23,"loan_start_date"
"customer_engine_v4.R","record_fields",24,"contract_end_date"
"customer_engine_v4.R","record_fields",25,"year_contract"
"customer_engine_v4.R","record_fields",26,"year_first_payment"
"customer_engine_v4.R","record_fields",27,"year_allocation"
"customer_engine_v4.R","record_fields",28,"year_loan_start"
"customer_engine_v4.R","record_fields",29,"x_contract"
"customer_engine_v4.R","record_fields",30,"x_first_payment"
"customer_engine_v4.R","record_fields",31,"x_allocation"
"customer_engine_v4.R","record_fields",32,"x_loan_start"
"customer_engine_v4.R","record_fields",33,"x_now"
"customer_engine_v4.R","export_fields",1,"id"
"customer_engine_v4.R","export_fields",2,"phase"
"customer_engine_v4.R","export_fields",3,"warn"
"customer_engine_v4.R","export_fields",4,"sr"
"customer_engine_v4.R","export_fields",5,"xc"
"customer_engine_v4.R","export_fields",6,"xf"
"customer_engine_v4.R","export_fields",7,"xa"
"customer_engine_v4.R","export_fields",8,"xl"
"customer_engine_v4.R","export_fields",9,"xn"
"customer_engine_v4.R","export_fields",10,"lab_contract"
"customer_engine_v4.R","export_fields",11,"lab_first"
"customer_engine_v4.R","export_fields",12,"lab_alloc"
"customer_engine_v4.R","export_fields",13,"lab_loan"
"customer_engine_v4.R","export_fields",14,"guthaben"
"customer_engine_v4.R","export_fields",15,"bausparsumme"
"customer_engine_v4.R","export_fields",16,"save_target"
"customer_engine_v4.R","export_fields",17,"loan_amount"
"customer_engine_v4.R","export_fields",18,"dabetrag"
"customer_engine_v4.R","export_fields",19,"alloc_est"
"customer_engine_v4.R","export_fields",20,"da_bsum_ratio"
"customer_engine_v4.R","export_fields",21,"bridge"
"customer_engine_v4.R","export_fields",22,"goal_frac"
"customer_engine_v4.R","export_fields",23,"contract_type"
"customer_engine_v4.R","export_fields",24,"goal_source"
"customer_engine_v4.R","export_fields",25,"special"
"customer_engine_v4.R","phase_values",1,"done"
"customer_engine_v4.R","phase_values",2,"loan"
"customer_engine_v4.R","phase_values",3,"oversave"
"customer_engine_v4.R","phase_values",4,"save"
"customer_engine_v4.R","goal_source_values",1,"tariff"
"customer_engine_v4.R","goal_source_values",2,"fallback_no_tariff"
"customer_engine_v4.R","date_missing_markers",1,""
"customer_engine_v4.R","date_missing_markers",2,"0"
"customer_engine_v4.R","date_missing_markers",3,"00"
"customer_engine_v4.R","date_missing_markers",4,"0000"
"customer_engine_v4.R","date_missing_markers",5,"00000000"
"customer_engine_v4.R","date_missing_markers",6,"NA"
"customer_engine_v4.R","date_missing_markers",7,"<NA>"
"customer_engine_v4.R","amount_missing_markers",1,""
"customer_engine_v4.R","amount_missing_markers",2,"NA"
"customer_engine_v4.R","amount_missing_markers",3,"<NA>"
"customer_engine_v4.R","amount_missing_markers",4,"n/a"
"customer_engine_v4.R","amount_missing_markers",5,"-"
