BSV,abschlussdatum,einloesungsdatum,erstmalige_zuteilungsanwartschaft,Tilgungsbeginn,Vertragsende,DaBetrag,bausparsumme_teuro,guthaben,tariff_amount,contract_type
900001,2001-03-01,2001-04-01,20110401,20110601,20220601,30000,30,12000,0.4,BS1
900002,2007-05-01,2007-06-01,20200101,20200301,20310301,20000,20,11230,0.4,BS1
900003,2019-01-01,2019-02-01,20290201,,,40000,40,4000,0.4,BS2
900004,2014-01-01,2014-02-01,20280201,,,25000,25,23000,0.4,BS2
900005,2008-01-01,2008-02-01,20180201,,,30000,30,9000,0.4,BS1
900006,2007-01-01,2007-02-01,20200101,20200201,20320201,101853,20,11230,0.4,BS1
900007,2015-06-01,2015-07-01,00000000,,,18000,18,3000,0.4,BSK
900008,2016-02-01,2016-03-01,20270301,,,22000,22,5000,NA,VL7
900009,2017-02-01,2017-03-01,20280301,,,24000,24,6000,0.3,BS2
900010,,2013-08-01,20240801,,,26000,26,7000,0.4,BS1
900011,,,20250101,,,28000,28,8000,0.4,BS1
900012,2018-01-01,2018-02-01,20290201,,,15000,0,2000,0.4,BSK
900013,2010-09-01,2010-10-01,20211001,,,"36.263,14","36,263","15.369,66","0,4000",BS1
900014,NA,0,00000000,,,21000,21,4200,0.4,BS2
900015,2012-04-01,2012-05-01,20230501,,,10000,45,9500,0.4,BS1
900016,2016-07-01,2016-08-01,20270801,,,19000,19,3800,0.4,
900017,2009-01-01,2009-02-01,20190201,20260331,20350101,32000,32,12800,0.4,BS1
900018,2004-01-01,2004-02-01,20140201,20140401,20260331,27000,27,10800,0.4,BS1
900019,2016-03-31,2016-04-30,20260331,,,23000,23,4600,0.4,BS2
900020,2015-01-01,2015-02-01,20261201,,,10000,10,9000,0.4,BS1
900021,2011-01-01,2011-02-01,20220201,,,40000,20,8000,0.4,BS1
900022,2013-01-01,2013-02-01,20240201,,,,0,1500,0.4,BS1
900023,2013-06-01,2013-07-01,20240701,,,0,0,1200,0.4,BS2
800000,2021-11-24,2022-06-16,20341223,20350310,,44471.97,45.039,19854.92,0.35,BS1
800001,2004-03-28,2005-01-15,20130204,,,21980.28,24.387,6794.18,0.35,BSK
800002,2000-02-04,2000-09-21,20091115,20111224,,10228.08,10.182,8292.74,0.4,BS2
800003,2002-01-21,2002-04-29,20110507,,,22487.67,24.91,18530.57,0.35,BSK
800004,1999-06-21,2000-04-05,20100103,,,24417.46,24.789,707.7,NA,BS2
800005,2014-10-07,2014-12-13,20271001,20281030,20330416,10115.43,10.621,790.03,0.5,BS1
800006,2021-11-28,2022-09-22,20330501,20330606,,"243.735,62","45,658","17.529,51","0,4000",VL7
800007,1998-11-04,1999-06-29,20110719,20130427,20250614,31536.47,30.347,24962.23,0.5,VL7
800008,2016-09-15,2017-05-14,20300522,,,"25.841,11","25,019","21.328,21","0,4000",BS2
800009,2001-09-23,2002-03-22,,,,23186,24.382,871.12,0.3,BS2
800010,2001-07-26,2002-08-08,20130926,,,18351.56,20.13,13268.37,0.5,BSK
800011,2020-09-15,2021-06-11,20340123,,,15299.84,15.424,5266.54,0.5,BS2
800012,2014-05-20,2015-01-18,,,,40820.61,40.345,20676.97,0.3,BSK
800013,2006-11-09,2007-06-06,20200501,,,43429.36,45.544,30372.62,0.4,VL7
800014,1998-08-07,1998-11-26,20111010,20120725,20210418,16248.87,15.759,6003.83,0.5,BS2
800015,2008-04-11,2008-09-05,20161022,,,26288.77,30.766,4652.88,0.4,BSK
800016,1999-12-05,2000-08-11,,,,25922.78,24.979,21359.48,NA,BSK
800017,2010-08-15,2010-12-31,,,,34341.79,36.189,15440.37,0.5,BS1
800018,2019-10-19,2020-10-04,20300419,20301113,,26783.24,30.736,13965.48,0.3,
800019,2014-11-03,2015-10-18,20260605,,,80920.82,36.766,30417.03,0.3,VL7
800020,2017-04-22,2017-05-15,,,,15313.52,15.425,318.53,0.5,BS1
800021,2015-08-21,2016-08-09,20260402,20280911,,28894.48,30.422,13507.26,0.35,BSK
800022,2011-10-09,2012-06-02,20230418,20240124,,44083.92,45.581,36711.85,0.4,BSK
800023,2015-07-06,2015-09-13,20270503,20280309,,24472.63,25.889,16316.87,0.4,VL7
800024,2009-12-17,2010-02-16,,,,164972.95,40.831,154201.39,0.4,BS2
800025,2002-05-23,2002-09-13,20091005,20110708,,"258.899,87","45,686","70.091,25","0,3000",BS2
800026,2004-05-22,2005-04-05,,,,"30.960,34","30,146","21.623,12",NA,BSK
800027,2010-04-18,2010-06-14,20190513,20200906,,31632.65,36.031,21141.05,NA,VL7
800028,2006-08-19,2007-01-14,,,,26873.82,25.621,25297.03,0.4,BSK
800029,2011-06-23,2012-06-15,20240603,,,37602.59,40.884,16109.9,0.3,VL7
800030,2006-05-03,2006-11-09,20200508,20220620,,26801.07,30.917,15112.71,0.5,
800031,2006-03-22,2006-07-08,20150731,,,24717.52,25.057,10497.45,0.35,
800032,2001-06-14,2001-08-19,20090102,,,25291.82,24.712,18429.03,0.4,BS1
800033,1998-02-10,1998-05-15,20051111,20080321,,"44.541,23","45,997","9341,79","0,3000",VL7
800034,2004-06-27,2005-01-12,20170912,,,34427.3,36.446,21723.87,0.4,BS1
800035,2005-01-02,2005-06-17,20150426,,,24327.59,24.358,19140.63,0.5,
800036,2013-02-11,2013-05-06,20270727,20290830,,202753.62,36.447,24889.86,NA,VL7
800037,2005-08-06,2005-10-02,,,,23541.18,25.393,15835.11,0.3,BS2
800038,2008-07-08,2008-08-17,,,,25352.46,24.789,16637.84,0.3,BSK
800039,2009-07-22,2010-02-12,20240408,20240917,,28064.39,30.091,10177.34,0.5,
800040,2018-12-21,2020-01-11,,,,14160.31,15.621,5485.96,0.5,BSK
800041,1998-05-19,1999-01-29,20120523,20120828,,18381.68,20.539,525.03,0.4,BS2
800042,2010-04-22,2010-08-15,,,,113350.53,45.786,53287.53,0.4,BSK
800043,2016-06-27,2016-08-14,20250729,,,14724.47,15.685,5103.5,NA,BS2
800044,2011-01-16,2011-03-24,20241020,,,26652.47,25.81,6724.18,0.3,VL7
800045,2016-08-02,2016-11-23,20280218,20300613,,"38.090,29","40,815","17.750,84","0,3500",BS1
800046,2009-05-09,2009-08-26,,,,37154.75,36.922,28983.73,0.3,BS1
800047,2002-03-08,2002-08-05,20110330,,,46916.86,50.779,11154.2,0.4,
800048,2019-05-04,2020-04-11,20330104,,,119811.05,30.073,105387.09,0.5,VL7
800049,2012-06-25,2012-11-11,20250111,20270515,,24272.59,25.222,15865.51,0.5,
800050,2009-12-14,2010-01-08,20210620,,,25127.44,24.587,14860.72,0.4,BS2
800051,2015-05-16,2016-03-24,,,,"25.954,04","30,441","21.931,43","0,5000",BS2
800052,2003-02-25,2004-03-09,20130101,20130418,,40531.44,40.061,34589.57,0.35,BSK
800053,2006-05-15,2006-08-30,20150324,20161228,,"81.541,14","30,872","7118,66",NA,BS2
800054,2009-12-16,2010-12-20,,,,26906.88,30.087,6597.86,0.35,BSK
800055,2011-12-03,2012-03-21,,,,25032.89,24.168,13924.81,NA,BS2
800056,2016-10-28,2017-09-24,,,,21170.2,24.852,874.06,0.3,BSK
800057,2015-06-15,2016-01-01,20270908,,,74662.66,15.813,69605.78,0.5,BSK
800058,2002-09-02,2003-01-25,20151230,,,10339.67,10.29,4280.56,0.4,BS2
800059,2017-05-26,2018-03-15,20300906,,,"37.880,49","40,762","1195,51",NA,BS1
800060,2015-08-23,2015-12-23,20240919,,,"137.432,15","45,529","84.700,99","0,4000",BS2
800061,2018-01-19,2018-05-22,20271112,20291101,,"28.536,13","30,935","22.197,91",NA,BSK
800062,2012-06-08,2013-02-26,,,,"38.020,63","40,568","10.530,49",NA,BS1
800063,2009-03-09,2010-01-14,20191030,,,14281.87,15.278,7913.49,NA,BS1
800064,2009-11-03,2010-01-03,,,,41374.83,45.068,18474.21,0.3,BSK
800065,2000-02-26,2001-03-12,20080829,20080912,,14945.39,15.251,5234.57,0.3,BSK
800066,2020-09-03,2021-04-22,20350312,20361226,20410927,"28.689,91","30,779","5679,12","0,5000",VL7
800067,2020-10-20,2021-08-04,20301114,,,25391.54,24.348,1832.27,NA,BS2
800068,2017-06-28,2018-06-15,20270118,,,46639,15.893,4532.8,0.4,BS2
800069,1998-09-12,1999-05-08,,,,88002.54,24.825,81479.11,0.4,BS2
800070,2019-03-03,2020-01-29,20320228,,,27130.02,30.478,1856.75,0.3,VL7
800071,2015-05-27,2015-08-16,20260316,20260430,,"46.624,44","45,480","15.736,41","0,4000",BS1
800072,2021-04-19,2021-06-06,20310804,,,39124.79,45.878,1762.69,0.5,BSK
800073,2004-09-04,2004-11-29,20181016,20190309,,186199.81,36.276,83011.43,0.35,BSK
800074,2014-06-16,2015-04-12,,,,44617.51,45.798,25541.55,0.3,BS2
800075,1999-04-25,2000-01-17,20081225,,,30992.4,36.167,25234.33,0.5,BS2
800076,2012-08-11,2012-11-18,20230430,,,24383.24,24.012,1183.53,0.3,BS1
800077,2010-12-05,2011-03-13,20210504,,,18784.43,20.013,10912.36,NA,
800078,1999-08-08,1999-10-14,20120503,,,79512.89,24.657,10325.65,0.4,BS2
800079,2015-04-23,2016-01-06,20240904,20241016,,49709.8,50.137,41845.84,0.4,BS1
800080,2019-07-24,2019-11-12,,,,"30.894,85","36,197","13.515,96","0,4000",BS1
800081,2018-03-19,2018-10-24,20260715,,,"43.443,37","50,042","13.045,85","0,4000",VL7
800082,2001-05-21,2001-11-18,20100424,20111222,,208959.88,50.868,9906.25,NA,VL7
800083,2007-04-26,2007-07-08,20180629,20191117,,295982.79,50.578,216706.84,0.3,
800084,2002-10-07,2003-10-03,20120227,,,155658.77,30.14,4033.05,0.4,BS2
800085,2019-12-13,2020-11-10,20301127,,,45806.06,45.893,10995.81,0.4,BS2
800086,2003-03-02,2004-02-16,,,,16123.7,15.699,1590.44,0.4,BS2
800087,2016-12-01,2017-10-13,20290325,20310528,,49662.05,50.659,11563.36,0.35,BS2
800088,1999-06-10,2000-04-20,20091015,,,22939.34,25.215,12596.01,NA,VL7
800089,2003-06-16,2004-06-14,20180728,,,217070.62,40.982,69814.54,NA,
800090,2009-02-09,2009-03-27,20220629,,,22702.1,24.599,20279.12,NA,BS1
800091,2018-10-27,2019-08-27,20271003,,,86344.22,20.687,47940.8,NA,BS1
800092,2006-06-25,2006-07-22,20191217,20201226,,34849.91,36.692,7975.08,0.5,
800093,2015-02-25,2015-06-24,20280420,20290604,20370904,79651.98,20.727,62420.73,0.3,BS2
800094,2000-11-04,2001-04-20,20140417,,,46222.04,45.283,31207.67,0.3,
800095,1999-06-19,1999-09-15,20100129,20110314,,14495.32,15.594,8209.76,0.5,BS1
800096,2011-11-25,2012-10-27,,,,41735.69,45.764,5475.42,0.3,
800097,2004-04-17,2004-12-19,20161114,,,"30.328,87","30,197","20.548,23","0,4000",BS2
800098,2003-05-28,2003-09-02,,,,"85.132,60","15,470","77.123,82","0,4000",
800099,2013-10-28,2013-11-19,20231114,20260228,,32031.5,36.979,15357.51,0.35,BS1
800100,2015-10-12,2016-01-19,20280129,,,28762.71,30.882,13836.67,0.35,VL7
800101,1999-01-23,1999-11-25,20100704,20120413,,90840.58,36.814,30132.77,0.3,BS1
800102,2014-03-12,2014-08-22,20240522,,,50478.22,50.297,32619.83,NA,
800103,2016-09-28,2016-11-23,20250116,20261122,20320724,234464.83,45.971,72080.78,NA,BS1
800104,2004-03-23,2004-09-04,20130729,20131207,20230602,24129.12,25.844,14550.64,0.4,VL7
800105,2009-06-21,2009-09-17,20170825,,,"13.633,37","15,072","2832,22","0,3000",BS2
800106,2022-10-01,2023-05-07,20300623,20320328,,"18.181,65","20,927","14.250,60","0,4000",
800107,2009-03-15,2009-04-05,20200227,,,22634.47,24.7,18278.88,0.3,BS1
800108,2014-05-23,2014-09-29,20250203,,,35619.29,36.544,7013.37,0.3,BSK
800109,2013-10-04,2014-07-03,20260629,20280615,,38760.01,40.171,28592.7,0.5,BS1
800110,2000-01-05,2001-01-04,20071127,,,10284.94,10.244,5639.61,0.35,BSK
800111,2006-01-22,2006-08-24,20191020,,,270690.43,45.157,211295.78,0.35,BS1
800112,2022-07-01,2023-06-29,20320207,20331007,,14705.31,15.962,6644.83,0.4,VL7
800113,2013-11-23,2014-10-15,20270224,,,"31.872,26","30,476","11.891,20","0,4000",BS1
800114,2019-05-24,2020-06-04,20340528,,,120224.85,40.592,35133.54,NA,BS1
800115,2010-09-27,2011-07-20,20221023,20231029,20310423,30814,10.297,7668.21,0.35,VL7
800116,2002-08-19,2002-12-23,20110805,20120329,,"43.480,59","50,402","9825,42","0,5000",VL7
800117,1998-01-27,1998-08-14,,,,22174.35,25.989,11508.89,0.35,BSK
800118,2014-07-16,2015-07-27,,,,24053.72,24.048,12268.61,NA,
800119,2014-08-12,2015-05-06,20241124,,,24440.87,24.055,10992.93,0.5,
800120,2017-06-27,2018-04-03,20280910,,,13578.06,15.054,5397.52,0.5,BS1
800121,2018-01-08,2018-08-03,20271124,20300207,,26519.8,25.56,19320.43,NA,BS2
800122,2017-01-18,2017-04-12,,,,41097.09,40.204,21828.77,0.35,BS1
800123,2000-08-24,2000-11-19,,,,14263.93,15.841,6047.94,0.5,BSK
800124,2009-11-28,2010-01-07,20180330,,,"127.757,34","50,736","19.693,85","0,3500",BSK
800125,2015-02-22,2015-11-24,20290422,,,"40.512,48","45,811","34.217,80","0,4000",BS1
800126,2022-05-02,2022-07-01,20310416,20310520,,"10.069,88","10,180","6243,11","0,4000",BS1
800127,2014-11-27,2015-10-11,20240411,20251231,,33968.16,36.07,17715,0.5,
800128,2021-02-13,2021-11-02,20320902,,,63070.3,10.949,47465.64,NA,BS2
800129,2012-10-18,2013-07-28,20201224,20210123,,40417.12,40.784,24454.16,0.3,BS1
800130,2003-10-28,2004-04-01,20170723,,,"46.879,50","10,534","12.195,84","0,3000",BS1
800131,1999-05-10,2000-05-21,20130308,,,41855.11,45.518,9317.76,0.35,BSK
800132,1999-06-14,2000-07-05,20100708,,,"44.018,15","50,043","10.977,20","0,4000",BS2
800133,2014-08-01,2014-12-30,20280619,,,29661.15,10.637,17400.1,NA,BSK
800134,2009-03-12,2009-10-04,20161226,20170412,,25979.36,25.573,14683.97,NA,
800135,1998-10-04,1999-01-15,20090224,,,30800.67,30.665,5011.98,0.35,BS1
800136,2015-03-14,2015-12-30,20241017,,,42334.06,40.32,14276.31,0.3,BS1
800137,2004-08-03,2004-09-27,20160627,20160812,20300421,46494.58,50.815,5948.38,0.5,BSK
800138,2003-03-02,2003-10-21,20150717,,,31413.89,30.212,10192.89,NA,BSK
800139,2022-08-04,2022-09-19,,,,"23.567,17","24,409","19.272,78","0,3500",BS1
800140,2017-03-03,2018-03-10,20280613,,,39594.66,45.715,18429.44,0.35,BS1
800141,2019-03-05,2019-04-19,,,,47249.54,50.461,23583.54,0.35,VL7
800142,2010-11-08,2011-07-14,20250101,,,"20.562,66","20,333","4236,58","0,3500",BSK
800143,2005-04-27,2006-02-03,20190629,,,"35.806,46","40,154","13.015,78",NA,BS1
800144,2020-04-12,2021-04-13,,,,15570.96,15.596,5802.12,0.4,BS2
800145,2017-05-01,2017-08-15,20250527,20250907,,96908.24,20.329,48856.04,0.5,BSK
800146,2018-10-01,2019-06-28,20330805,,,"32.158,38","36,636","4225,44",NA,VL7
